	Code	Name	Type	Formula	PubChem	IUPAC	Smiles	Weight	Clusters	Symbol	Source	Essential amino acids	Error
0	Ahad	alpha-amino-hydroxyadipic acid	unknown	C6H11NO5	22326384	2-amino-4-hydroxyhexanedioic acid	NC(CC(O)CC(=O)O)C(=O)O	177.15524	"['Aad*', 'Aad*']"		Norine		
1	Aad	2-Aminoadipic acid	NRPS	C6H11NO4	469	2-aminohexanedioic acid	NC(CCCC(=O)O)C(=O)O	161.15584	"['Aad*', 'Aad*']"		Norine		
2	Aib	2-Aminoisobutyric acid	NRPS	C4H9NO2	6119	2-amino-2-methylpropanoic acid	CC(C)(N)C(=O)O	103.11977	"['Aib*', 'Aib*']"		Norine		
3	Ac-Aib	N-Acetyl-2-aminoisobutyric acid	NRPS	C6H11NO3	233700	2-acetamido-2-methylpropanoic acid	CC(=O)NC(C)(C)C(=O)O	145.15645	"['Aib*', 'Aib*']"		Norine		
4	bU-dAla	beta-ureido-dehydroAlanine	NRPS	C4H7N3O3			NC(=O)NC=C(N)C(O)=O	145.11667	"['Ala*', 'Ala+Gly']"	A*	Norine		
5	NMe-Ala	N-Methyl-Alanine	NRPS	C4H9NO2	5683	(2S)-2-methylaminopropanoic acid	CNC(C)C(=O)O	103.11977	"['Ala*', 'Ala+Gly']"	A*	Norine		
6	NMe-bAla	N-methyl-beta-alanine	NRPS	C4H9NO2	218106	3-methylaminopropanoic acid	CNCCC(=O)O	103.11977	"['Ala*', 'Ala+Gly']"	A*	Norine		
7	dh-Ala	dehydroalanine	NRPS	C3H5NO2	123991	2-aminoprop-2-enoic acid	C=C(N)C(=O)O	87.0773	"['Ala*', 'Ala+Gly']"	A*	Norine		
8	NdMe-Ala	N-dimethyl-Alanine	NRPS	C5H11NO2	728583	(2S)-2-dimethylaminopropanoic acid	CC(C(=O)O)N(C)C	117.14634	"['Ala*', 'Ala+Gly']"	A*	Norine		
9	Ala	Alanine	NRPS	C3H7NO2	5950	(2S)-2-aminopropanoic acid	CC(N)C(=O)O	89.09318	"['Ala*', 'Ala+Gly']"	A	Norine	1	
10	D-Ala	D-Alanine	NRPS	C3H7NO2	71080	(2R)-2-aminopropanoic acid	CC(N)C(=O)O	89.09318	"['Ala*', 'Ala+Gly']"	A*	Norine		
11	bAla	beta-Alanine	NRPS	C3H7NO2	239	3-aminopropanoic acid	NCCC(=O)O	89.09318	"['Ala*', 'Ala+Gly']"	A*	Norine		
12	NFo-Ala	N-formyl-Alanine	unknown	C4H7NO3	10336836	2-formamidopropanoic acid	CC(NC=O)C(=O)O	117.10328	"['Ala*', 'Ala+Gly']"	A*	Norine		
13	D-3OMe-Ala	D-3-methoxyalanine	NRPS	C4H9NO3	97963	2-amino-3-methoxypropanoic acid	COCC(N)C(=O)O	119.12	"['Ala*', 'Ala+Gly']"	A*	Norine		
14	D-NFo-Ala	D-N-formyl-Alanine	NRPS	C4H7NO3	10336836	2-formamidopropanoic acid	CC(NC=O)C(=O)O	117.10328	"['Ala*', 'Ala+Gly']"	A*	Norine		
15	Gly	Glycine	NRPS	C2H5NO2	750	2-aminoacetic acid	NCC(=O)O	75.066605	"['Gly*', 'Ala+Gly']"	G	Norine	1	
16	NMe-Gly	N-Methyl-Glycine	NRPS	C3H7NO2	1088	2-methylaminoacetic acid	CNCC(=O)O	89.09318	"['Gly*', 'Ala+Gly']"	G*	Norine		
17	D-F-ph-Gly	D-4-fluoroPhenylGlycin	NRPS	C8H8FNO2	124515	(2R)-2-amino-2-(4-fluorophenyl)acetic acid	NC(C(=O)O)c1ccc(F)cc1	169.15302	"['Gly*', 'Ala+Gly']"	G*	Norine		
18	NMe-Ph-Gly	N-methyl-phenylglycine	unknown	C9H11NO2	228214	2-methylamino-2-phenylacetic acid	CNC(C(=O)O)c1ccccc1	165.18913	"['Gly*', 'Ala+Gly']"	G*	Norine		
19	Ph-Gly	phenylglycine	NRPS	C8H9NO2	99291	(2S)-2-amino-2-phenylacetic acid	NC(C(=O)O)c1ccccc1	151.16255	"['Gly*', 'Ala+Gly']"	G*	Norine		
20	D-ph-Gly	D-PhenylGlycine	NRPS	C8H9NO2	70134	(2R)-2-amino-2-phenylacetic acid	NC(C(=O)O)c1ccccc1	151.16255	"['Gly*', 'Ala+Gly']"	G*	Norine		
21	Eta	Ethanolamine	NRPS	C2H7NO	700	2-aminoethanol	NCCO	61.08308	"['Gly*', 'Ala+Gly']"	G*	Norine		
22	aFo-Gly	alpha-formylGlycine	unknown	C3H5NO3	29	2-amino-3-oxopropanoic acid	NC(C=O)C(=O)O	103.076706	"['Gly*', 'Ala+Gly']"	G*	Norine		
23	bMe-Asn	beta-methyl-asparagine	NRPS	C5H10N2O3	3742490	"2,4-diamino-3-methyl-4-oxobutanoic acid"	CC(C(N)=O)C(N)C(=O)O	146.1445	"['Asn*', 'Asx']"	N*	Norine		
24	D-OH-Asn	D-HydroxyAsparagine	NRPS	C4H8N2O4	152191	"2,4-diamino-3-hydroxy-4-oxobutanoic acid"	NC(=O)C(O)C(N)C(=O)O	148.11732	"['Asn*', 'Asx']"	N*	Norine		
